timestamp,service_name,requests_per_second,cpu_utilization,memory_utilization,latency_p50_ms,latency_p99_ms,error_rate,active_connections,bytes_in_per_second,bytes_out_per_second
2026-01-03T00:00:00+00:00,api,32.37,0.3414,0.2784,51.45,121.24,0.003477,31,39256,130298
2026-01-03T00:00:00+00:00,worker,37.95,0.2648,0.4257,48.22,120.86,0.0013,27,38222,178706
2026-01-03T00:00:00+00:00,web,53.05,0.2279,0.4164,50.68,106.17,0.00122,15,47864,213380
2026-01-03T00:05:00+00:00,api,33.31,0.3378,0.4103,47.41,145.59,0.00359,13,38657,147909
2026-01-03T00:05:00+00:00,worker,43.79,0.2949,0.3923,55.03,113.24,0.001334,12,53527,162974
2026-01-03T00:05:00+00:00,web,47.06,0.2387,0.2556,55.2,113.17,0.004199,15,43733,224496
2026-01-03T00:10:00+00:00,api,36.51,0.3287,0.4486,57.27,147.25,0.003002,0,43949,163739
2026-01-03T00:10:00+00:00,worker,39.98,0.2928,0.7543,61.13,135.31,0.006359,11,37654,167119
2026-01-03T00:10:00+00:00,web,49.65,0.2519,0.3647,51.96,134.29,0.001402,27,40726,184462
2026-01-03T00:15:00+00:00,api,32.58,0.3611,0.3465,50.91,105.44,0.003262,5,33487,152504
2026-01-03T00:15:00+00:00,worker,34.03,0.2229,0.2639,45.42,112.59,0.001867,15,35037,131733
2026-01-03T00:15:00+00:00,web,48.73,0.2953,0.3066,54.35,122.81,0.003606,33,47168,229759
2026-01-03T00:20:00+00:00,api,37.55,0.2843,0.3875,53.96,224.11,0.002261,-1,35955,150617
2026-01-03T00:20:00+00:00,worker,43.16,0.2221,0.4152,54.61,119.44,0.003377,24,45604,168980
2026-01-03T00:20:00+00:00,web,59.98,0.2608,0.501,58.1,139.36,0.008726,51,53339,248385
2026-01-03T00:25:00+00:00,api,36.2,0.3761,0.4642,50.36,202.89,0.004091,27,29739,151764
2026-01-03T00:25:00+00:00,worker,38.73,0.3152,0.2504,49.74,105.29,0.001109,20,47116,131586
2026-01-03T00:25:00+00:00,web,36.39,0.2759,0.3231,49.66,102.78,0.001661,21,32434,169909
2026-01-03T00:30:00+00:00,api,36.43,0.2628,0.5335,48.44,107.68,0.001857,8,33730,130524
2026-01-03T00:30:00+00:00,worker,45.17,0.3059,0.4078,59.08,191.85,0.002972,9,54264,160283
2026-01-03T00:30:00+00:00,web,44.57,0.4141,0.3373,53.67,126.12,0.009664,35,38816,198588
2026-01-03T00:35:00+00:00,api,38.8,0.2433,0.3828,53.09,120.73,0.002759,32,41377,136722
2026-01-03T00:35:00+00:00,worker,37.79,0.2507,0.4379,51.32,126.2,0.00197,14,40151,180664
2026-01-03T00:35:00+00:00,web,50.87,0.2594,0.4314,63.89,133.11,0.002227,24,56509,243636
2026-01-03T00:40:00+00:00,api,37.78,0.2634,0.4891,51.31,115.07,0.012605,6,44127,166413
2026-01-03T00:40:00+00:00,worker,43.84,0.2578,0.4941,52.19,110.78,0.001264,40,51819,159129
2026-01-03T00:40:00+00:00,web,43.17,0.2498,0.2537,47.51,119.76,0.004123,21,50255,204347
2026-01-03T00:45:00+00:00,api,35.56,0.2456,0.3985,69.07,196.18,0.008192,12,43043,170078
2026-01-03T00:45:00+00:00,worker,42.3,0.2861,0.2265,54.23,122.95,0.001049,29,35805,177535
2026-01-03T00:45:00+00:00,web,42.34,0.2962,0.4728,93.44,192.49,0.001852,23,36732,192638
2026-01-03T00:50:00+00:00,api,29.66,0.3263,0.3527,48.76,106.5,0.002284,24,29376,131022
2026-01-03T00:50:00+00:00,worker,123.47,0.4188,0.4162,88.77,202.24,0.005067,70,124197,454422
2026-01-03T00:50:00+00:00,web,58.25,0.3339,0.4655,70.31,259.56,0.0015,26,66764,228500
2026-01-03T00:55:00+00:00,api,37.09,0.208,0.3803,53.55,108.11,0.002507,23,39166,166910
2026-01-03T00:55:00+00:00,worker,43.01,0.2534,0.3866,60.46,162.53,0.00376,32,47784,178714
2026-01-03T00:55:00+00:00,web,43.06,0.3314,0.352,80.29,217.09,0.001386,9,36590,204148
2026-01-03T01:00:00+00:00,api,34.61,0.309,0.4989,48.79,114.42,0.001067,23,28408,167423
2026-01-03T01:00:00+00:00,worker,36.93,0.3232,0.3706,49.3,172.26,0.001101,10,37179,165567
2026-01-03T01:00:00+00:00,web,45.71,0.3288,0.4291,81.34,195.68,0.003169,29,51861,197928
2026-01-03T01:05:00+00:00,api,42.59,0.3611,0.436,61.19,188.76,0.005456,24,52014,167297
2026-01-03T01:05:00+00:00,worker,40.32,0.2665,0.3932,59.66,136.41,0.001202,24,41165,164606
2026-01-03T01:05:00+00:00,web,59.09,0.3951,0.4393,51.96,128.05,0.002183,22,70817,255556
2026-01-03T01:10:00+00:00,api,29.54,0.2706,0.3657,50.71,134.06,0.001691,20,33796,110382
2026-01-03T01:10:00+00:00,worker,53.21,0.3048,0.4887,57.69,136.14,0.001268,36,46708,241888
2026-01-03T01:10:00+00:00,web,49.85,0.2687,0.4027,104.94,218.41,0.003256,22,53207,213590
2026-01-03T01:15:00+00:00,api,35.57,0.3475,0.4829,66.51,165.15,0.001308,11,39658,167506
2026-01-03T01:15:00+00:00,worker,50.21,0.3965,0.4593,56.77,121.43,0.004281,29,59962,191751
2026-01-03T01:15:00+00:00,web,51.73,0.3167,0.3882,60.95,212.74,0.003685,13,60258,210807
2026-01-03T01:20:00+00:00,api,29.38,0.3776,0.3782,45.57,91.55,0.002532,0,34269,134878
2026-01-03T01:20:00+00:00,worker,42.83,0.267,0.4655,62.88,172.26,0.003378,23,40978,203805
2026-01-03T01:20:00+00:00,web,58.03,0.3444,0.3383,55.43,150.62,0.001978,18,70190,278996
2026-01-03T01:25:00+00:00,api,36.8,0.2943,0.2,58.67,131.91,0.001016,16,41383,126036
2026-01-03T01:25:00+00:00,worker,44.46,0.3177,0.3506,49.22,100.97,0.00143,37,54307,187921
2026-01-03T01:25:00+00:00,web,44.78,0.3021,0.4857,65.41,144.74,0.002317,22,37549,156086
2026-01-03T01:30:00+00:00,api,38.03,0.2824,0.4476,62.62,145.95,0.001412,18,36363,169021
2026-01-03T01:30:00+00:00,worker,44.49,0.3698,0.3163,63.56,144.77,0.007229,4,50102,155336
2026-01-03T01:30:00+00:00,web,47.06,0.2917,0.3808,57.64,170.73,0.003696,31,42098,159063
2026-01-03T01:35:00+00:00,api,35.63,0.2825,0.3206,50.87,172.32,0.002362,14,35763,141363
2026-01-03T01:35:00+00:00,worker,50.08,0.3423,0.4168,57.84,117.83,0.006451,41,50553,245788
2026-01-03T01:35:00+00:00,web,50.8,0.2682,0.3887,55.48,148.48,0.003822,34,52640,225428
2026-01-03T01:40:00+00:00,api,36.57,0.1914,0.3935,52.81,120.83,0.001103,34,31934,128556
2026-01-03T01:40:00+00:00,worker,47.55,0.276,0.4236,52.29,131.56,0.004836,32,40683,203323
2026-01-03T01:40:00+00:00,web,46.55,0.2221,0.5325,66.64,185.35,0.008513,20,43867,214101
2026-01-03T01:45:00+00:00,api,33.36,0.2558,0.4166,54.66,176.87,0.006927,10,28655,162590
2026-01-03T01:45:00+00:00,worker,51.9,0.325,0.448,56.44,149.39,0.00448,23,44339,174774
2026-01-03T01:45:00+00:00,web,59.13,0.2693,0.4286,53.39,111.07,0.001643,28,56509,241768
2026-01-03T01:50:00+00:00,api,33.0,0.2105,0.4341,58.41,156.24,0.003461,18,40219,119606
2026-01-03T01:50:00+00:00,worker,46.93,0.3557,0.3373,51.95,128.46,0.002622,33,54423,184156
2026-01-03T01:50:00+00:00,web,43.33,0.2733,0.3369,56.07,124.01,0.001933,10,43722,160057
2026-01-03T01:55:00+00:00,api,33.34,0.2245,0.4097,54.72,128.46,0.00175,10,32850,111483
